,ID,Time,Lane,Class,x,Speed,Acceleration,Mileage
88559,377,158.0,0,1,12.0,68.49503999999999,0.0,1.1368449
88560,383,158.0,1,2,24.0,73.49796000000018,-0.0005280000003134925,1.1280324
88561,381,158.0,0,3,12.0,70.1042400000003,-0.2022240000008272,1.097632
88562,378,158.0,3,2,48.0,65.09844000000004,-0.00052800000029265,1.0732654
88563,380,158.0,2,2,36.0,64.9994399999998,0.001056000000626985,1.0616652
88564,382,158.0,2,2,36.0,66.54095999999976,0.10084800000026727,1.0314192
88565,387,158.0,2,3,36.0,82.90202399999993,-0.000211199999883623,0.83710116
88566,393,158.0,3,2,48.0,70.10071199999976,0.00010560000054624653,0.78980064
88567,385,158.0,1,3,24.0,73.49738399999967,0.0004224000009552734,0.7770107
88568,384,158.0,3,1,48.0,64.99980000000001,0.0005279999997299001,0.7330545
88569,386,158.0,0,2,12.0,68.49503999999999,0.000211200000488058,0.7145554
88570,388,158.0,3,4,48.0,66.669948,0.3620496000002561,0.69885427
88571,394,158.0,2,2,36.0,77.89932000000005,0.0003167999998254345,0.6495118
88572,389,158.0,1,2,24.0,73.49759999999996,0.0,0.6177397
88573,391,158.0,1,2,24.0,75.29993999999994,0.0,0.5815103
88574,390,158.0,0,1,12.0,73.49745599999964,0.0004224000009344309,0.57088
88575,392,158.0,2,2,36.0,72.89694000000017,-0.000264000000146325,0.56334555
88576,398,158.0,2,0,36.0,77.899392,0.0,0.45451146
88577,397,158.0,3,2,48.0,70.10064,0.00015839999993355985,0.431157
88578,395,158.0,0,2,12.0,68.49518400000012,-0.00010560000023360772,0.41012326
88579,396,158.0,1,2,24.0,68.49500400000001,0.00026399999987537136,0.40631557
88580,404,158.0,3,4,48.0,64.99994399999993,-5.279999997090575e-05,0.375555
88581,403,158.0,1,4,24.0,68.49514800000014,-0.00015840000022535606,0.23128432
88582,401,158.0,3,2,48.0,75.10319999999997,5.280000011680386e-05,0.19708137
88583,399,158.0,2,4,36.0,64.99994400000003,-5.280000011680386e-05,0.19499971
88584,402,158.0,0,2,12.0,83.50264800000004,-1.4589810840940725e-13,0.11509786
88585,400,158.0,1,4,24.0,73.4976216,2.1119999996699334e-05,0.068491474
88586,405,158.0,2,1,36.0,64.99992239999997,-2.111999995501416e-05,0.046944376
88587,276,159.0,1,2,24.0,73.50048000000164,0.0,4.9746985
88588,281,159.0,1,2,24.0,73.50120000000047,-0.005280000000738028,4.89692
88589,266,159.0,0,0,12.0,68.49971999999873,4.689582056016661e-12,4.887157
88590,270,159.0,3,5,48.0,64.99908000000119,0.0021119999965435454,4.874993
88591,275,159.0,0,2,12.0,70.2324000000008,-0.9240000000025361,4.869177
88592,265,159.0,3,2,48.0,64.6106400000022,-0.3611520000045232,4.843056
88593,293,159.0,0,3,12.0,83.50019999999923,0.0005280000014806774,4.7561045
88594,282,159.0,1,5,24.0,73.5022799999971,-0.003167999994815318,4.739385
88595,267,159.0,3,0,48.0,65.10060000000131,-0.0021120000012331275,4.630055
88596,269,159.0,3,2,48.0,65.07972000000031,0.0010559999982717727,4.608606
88597,261,159.0,2,2,36.0,60.00084000000214,-0.0015840000044420322,4.5698395
88598,279,159.0,0,2,12.0,68.49899999999991,0.00475199999925735,4.5390315
88599,294,159.0,1,1,24.0,79.99920000000067,0.0031679999995049,4.532823
88600,273,159.0,3,4,48.0,64.99980000000001,-0.0005279999967910953,4.4452715
88601,284,159.0,0,3,12.0,68.50260000000041,-0.005807999997529123,4.4153495
88602,286,159.0,0,2,12.0,68.45903999999976,0.0010559999982717727,4.390767
88603,298,159.0,3,2,48.0,65.09916000000047,0.0021119999965435454,4.3798914
88604,287,159.0,3,4,48.0,64.74023999999794,-0.06916799999700629,4.3709493
88605,289,159.0,0,3,12.0,68.49359999999756,4.689582056016661e-12,4.365623
88606,280,159.0,3,1,48.0,64.79064000000179,-0.05702400000515695,4.338569
88607,296,159.0,0,2,12.0,70.21583999999912,-0.0971519999957593,4.325647
88608,290,159.0,1,3,24.0,68.50152000000058,-0.002640000002713805,4.3125725
88609,288,159.0,1,4,24.0,68.86547999999806,-0.09820799999403107,4.2792234
88610,272,159.0,2,2,36.0,60.001199999999955,-0.002639999998024223,4.181505
88611,278,159.0,2,2,36.0,60.000839999998945,-0.0021119999965435454,4.1582036
88612,285,159.0,2,4,36.0,60.201719999999526,0.10031999999995378,4.1467166
88613,283,159.0,3,3,48.0,65.10096000000232,-0.002640000002713805,4.1418037
88614,291,159.0,1,4,24.0,68.50152000000058,-0.0036960000009855776,4.1050973
88615,299,159.0,0,4,12.0,73.50012000000063,0.0005279999967910953,4.0129485
88616,306,159.0,0,4,12.0,73.50120000000047,-0.00158399999975245,3.876082
88617,292,159.0,2,3,36.0,65.00051999999883,-0.0010559999982717727,3.8674943
88618,297,159.0,2,2,36.0,63.00071999999908,-1.6214879999982659,3.8591611
88619,303,159.0,2,2,36.0,65.18520000000035,-2.8670399999998,3.840975
88620,295,159.0,1,4,24.0,68.4986399999989,0.005808000002218705,3.8025668
88621,302,159.0,1,2,24.0,68.49827999999948,-0.0010559999982509302,3.7757456
88622,309,159.0,0,2,12.0,73.50120000000047,-0.00158399999975245,3.7454984
88623,300,159.0,3,2,48.0,64.99980000000001,-0.0005279999991463076,3.6454115
88624,301,159.0,3,1,48.0,65.00051999999883,-0.0015839999974180804,3.5840225
88625,304,159.0,3,2,48.0,65.46024000000105,0.21700799999657835,3.5750368
88626,305,159.0,1,1,24.0,68.49971999999873,0.002640000002713805,3.5361755
88627,307,159.0,2,2,36.0,67.89996000000028,0.0,3.5049903
88628,308,159.0,1,0,24.0,68.50152000000058,-0.0026400000003585925,3.3573964
88629,313,159.0,3,2,48.0,65.09807999999904,0.0005280000014598348,3.3461416
88630,311,159.0,2,1,36.0,67.89959999999925,0.00052800000150152,3.3277078
88631,318,159.0,3,2,48.0,65.25432000000073,-0.10031999999995378,3.3153656
88632,320,159.0,2,5,36.0,67.94676000000041,0.22703999999890812,3.2890294
88633,312,159.0,1,3,24.0,68.49972000000034,0.0026400000003585925,3.147934
88634,317,159.0,1,0,24.0,68.73263999999963,0.823680000000248,3.1153452
88635,316,159.0,1,1,24.0,69.28596000000056,0.1024319999988317,3.0918221
88636,314,159.0,3,2,48.0,64.99944000000059,0.0,3.082079
88637,321,159.0,2,2,36.0,67.89888000000045,0.00263999999800338,3.0507922
88638,310,159.0,0,2,12.0,63.49643999999994,0.004224000000121464,3.0471776
88639,315,159.0,0,1,12.0,63.428399999999385,0.010560000001476055,3.024502
88640,330,159.0,1,1,24.0,68.49972000000034,0.0021120000012122848,2.9386702
88641,327,159.0,2,2,36.0,67.89996000000028,0.0010559999982509302,2.9202971
88642,319,159.0,3,2,48.0,65.00016000000102,-0.0005280000014806774,2.8690236
88643,326,159.0,1,2,24.0,68.50044000000075,0.0005279999991463076,2.8330176
88644,336,159.0,0,3,12.0,88.49916000000029,0.00158399999975245,2.8199303
88645,322,159.0,3,2,48.0,65.03940000000074,0.059663999998512435,2.811737
88646,325,159.0,1,1,24.0,68.50044000000075,-2.3552123214661452e-12,2.808776
88647,323,159.0,3,1,48.0,65.31120000000037,0.0,2.7866275
88648,339,159.0,1,2,24.0,68.50044000000075,0.0005279999991463076,2.7836049
88649,334,159.0,1,4,24.0,69.89292000000003,-0.09820800000107587,2.745784
88650,324,159.0,2,2,36.0,65.00052000000042,-0.0010560000006061424,2.7245793
88651,333,159.0,2,4,36.0,63.70128000000044,0.19271999999880052,2.7041972
88652,331,159.0,3,4,48.0,64.99980000000001,0.0005279999991463076,2.6162462
88653,328,159.0,3,2,48.0,66.36312000000063,0.0982079999987415,2.597864
88654,335,159.0,2,2,36.0,67.89959999999925,-0.0010559999982509302,2.5373595
